"search_log_id";"total_price_final";"rooms_total_price";"upsell_total_price";"vouchers_total_price";"loyalty_discount_total";"redeemed_loyalty_points_total"
"149739";"117253";"146664.44";"0.00";"0";"14666.44";"14745.00"
"149774";"133844";"150368";"0.00";"0";"16524.00";"0.00"
"149772";"108095";"127057.33";"0.00";"0";"13962.33";"5000.00"
"150275";"178605";"222660";"0.00";"0";"33399.00";"10656.00"
"150333";"155693";"172992.22";"0.00";"0";"17299.22";"0.00"
"150384";"104040";"104040";"0.00";"0";"0.00";"0.00"
"150567";"107076";"120295.22";"0.00";"0";"13219.22";"0.00"
"150628";"151466";"170165.56";"0.00";"0";"18699.56";"0.00"
"150649";"76451";"94982.22";"0.00";"0";"9498.22";"9033.00"
"150639";"478.5";"402.9";"75.60";"0";"0.00";"0.00"
"150675";"145666";"167406.66999999998";"0.00";"0";"16740.67";"5000.00"
"150778";"258475";"292750";"0.00";"0";"29275.00";"5000.00"
"150780";"119952";"119952";"0.00";"0";"0.00";"0.00"
"150799";"822.8";"822.8";"0.00";"0";"0.00";"0.00"
"150795";"176390";"191555.56";"8990.00";"0";"19155.56";"5000.00"
"150805";"263475";"292750";"0.00";"0";"29275.00";"0.00"
"150806";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"150804";"288913";"293913";"0.00";"0";"0.00";"5000.00"
"150801";"185512";"211680";"0.00";"0";"21168.00";"0.00"
"150857";"205020";"205020";"0.00";"0";"0.00";"0.00"
"150926";"123660";"101960";"27200.00";"0";"0.00";"5500.00"
"151332";"348656";"387395.56";"0.00";"0";"38739.56";"0.00"
"151339";"164873";"188747.78";"0.00";"0";"18874.78";"5000.00"
"151249";"233.25";"277.21";"0.00";"0";"30.46";"13.50"
"151359";"94792";"110880";"0.00";"0";"11088.00";"5000.00"
"151371";"336684";"379648.89";"0.00";"0";"37964.89";"0.00"
"151378";"207085";"235872.22";"0.00";"0";"23587.22";"5200.00"
"151394";"97449";"113832.22";"0.00";"0";"11383.22";"5000.00"
"151429";"133358";"148175.6";"0.00";"0";"14817.60";"0.00"
"151438";"86688";"86688";"0.00";"0";"0.00";"0.00"
"151472";"72112";"85680";"0.00";"0";"8568.00";"5000.00"
"151486";"83906";"98784.44";"0.00";"0";"9878.44";"5000.00"
"151495";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"151482";"159430";"182700";"0.00";"0";"18270.00";"5000.00"
"151481";"95246";"111384.44";"0.00";"0";"11138.44";"5000.00"
"151503";"119750";"133055.56";"0.00";"0";"13305.56";"0.00"
"151494";"77112";"85680";"0.00";"0";"8568.00";"0.00"
"151510";"90530";"115165.56";"0.00";"0";"11516.56";"13119.00"
"151541";"119952";"119952";"0.00";"0";"0.00";"0.00"
"151581";"82506";"98784.44";"0.00";"0";"9878.44";"6400.00"
"151583";"149678";"171864.44";"0.00";"0";"17186.44";"5000.00"
"151584";"359694";"405215.56";"0.00";"0";"40521.56";"5000.00"
"151589";"128358";"148175.6";"0.00";"0";"14817.60";"5000.00"
"151560";"81222";"105840";"0.00";"0";"10584.00";"14034.00"
"151585";"163069";"181187.78";"0.00";"0";"18118.78";"0.00"
"151597";"177811";"197567.78";"0.00";"0";"19756.78";"0.00"
"151602";"92751";"108612.22";"0.00";"0";"10861.22";"5000.00"
"151635";"64147";"64147";"0.00";"0";"0.00";"0.00"
"151642";"203026";"225584.44";"0.00";"0";"22558.44";"0.00"
