,id,search_log_room_id,age,baby_bed,hotel_id
2512,3792,16037,6,0,hotel_3
2513,3793,16037,12,0,hotel_3
2514,3794,16037,13,0,hotel_3
2515,3795,16039,6,0,hotel_3
2516,3796,16039,12,0,hotel_3
2517,3797,16042,1,0,hotel_3
2518,3798,16044,1,0,hotel_3
2519,3799,16045,9,0,hotel_3
2520,3800,16051,6,0,hotel_3
2521,3801,16051,0,0,hotel_3
2522,3802,16052,6,0,hotel_3
2523,3803,16052,12,0,hotel_3
2524,3804,16054,9,0,hotel_3
2525,3805,16055,9,0,hotel_3
2526,3806,16056,9,0,hotel_3
2527,3807,16057,9,0,hotel_3
2528,3808,16058,10,0,hotel_3
2529,3810,16079,7,0,hotel_3
2530,3811,16079,4,0,hotel_3
2531,3812,16080,7,0,hotel_3
2532,3813,16080,4,0,hotel_3
2533,3815,16103,5,0,hotel_3
2534,3816,16107,1,0,hotel_3
2535,3817,16107,5,0,hotel_3
2536,3818,16109,2,1,hotel_3
2537,3819,16109,5,0,hotel_3
2538,3820,16115,9,0,hotel_3
2539,3822,16118,15,0,hotel_3
2540,3823,16119,6,0,hotel_3
2541,3824,16120,9,0,hotel_3
2542,3825,16121,9,0,hotel_3
2543,3826,16124,9,0,hotel_3
2544,3827,16125,1,0,hotel_3
2545,3829,16130,6,0,hotel_3
2546,3830,16130,13,0,hotel_3
2547,3831,16130,13,0,hotel_3
2548,3832,16132,1,0,hotel_3
2549,3833,16133,15,0,hotel_3
2550,3834,16133,17,0,hotel_3
2551,3835,16134,2,0,hotel_3
2552,3836,16137,5,0,hotel_3
2553,3837,16138,1,0,hotel_3
2554,3838,16142,16,0,hotel_3
2555,3839,16142,14,0,hotel_3
2556,3840,16142,3,0,hotel_3
2557,3841,16143,3,0,hotel_3
2558,3842,16144,16,0,hotel_3
2559,3843,16144,14,0,hotel_3
2560,3844,16145,3,0,hotel_3
2561,3845,16146,16,0,hotel_3
2562,3846,16146,14,0,hotel_3
2563,3847,16147,3,0,hotel_3
2564,3848,16150,16,0,hotel_3
2565,3849,16150,14,0,hotel_3
2566,3850,16151,3,0,hotel_3
2567,3851,16153,1,1,hotel_3
2568,3852,16153,0,1,hotel_3
2569,3853,16154,1,1,hotel_3
2570,3854,16154,0,1,hotel_3
2571,3855,16173,12,0,hotel_3
2572,3856,16192,6,0,hotel_3
2573,3857,16192,1,0,hotel_3
2574,3858,16193,1,0,hotel_3
2575,3859,16193,6,0,hotel_3
2576,3860,16198,11,0,hotel_3
2577,3861,16198,9,0,hotel_3
2578,3862,16198,5,0,hotel_3
2579,3863,16204,3,0,hotel_3
2580,3864,16204,8,0,hotel_3
2581,3865,16205,3,0,hotel_3
2582,3866,16205,8,0,hotel_3
2583,3867,16214,6,0,hotel_3
2584,3868,16215,6,0,hotel_3
2585,3869,16216,6,0,hotel_3
2586,3870,16218,13,0,hotel_3
2587,3871,16220,13,0,hotel_3
2588,3872,16221,13,0,hotel_3
2589,3873,16222,13,0,hotel_3
2590,3874,16233,16,0,hotel_3
2591,3875,16235,4,0,hotel_3
2592,3876,16235,2,0,hotel_3
2593,3877,16238,7,0,hotel_3
2594,3878,16238,4,0,hotel_3
2595,3879,16266,8,0,hotel_3
2596,3880,16266,10,0,hotel_3
2597,3881,16266,12,0,hotel_3
2598,3882,16271,0,0,hotel_3
2599,3883,16273,14,0,hotel_3
2600,3884,16279,9,0,hotel_3
2601,3885,16280,4,0,hotel_3
2602,3886,16287,11,0,hotel_3
2603,3887,16294,13,0,hotel_3
2604,3888,16294,11,0,hotel_3
2605,3889,16294,8,0,hotel_3
2606,3890,16297,13,0,hotel_3
2607,3891,16297,11,0,hotel_3
2608,3892,16297,8,0,hotel_3
2609,3893,16323,14,0,hotel_3
2610,3894,16326,14,0,hotel_3
2611,3895,16328,14,0,hotel_3
2612,3896,16330,14,0,hotel_3
2613,3897,16331,14,0,hotel_3
2614,3898,16334,2,0,hotel_3
2615,3899,16334,6,0,hotel_3
2616,3900,16335,3,0,hotel_3
2617,3901,16343,5,0,hotel_3
2618,3902,16343,8,0,hotel_3
2619,3903,16346,6,0,hotel_3
2620,3904,16347,7,0,hotel_3
2621,3905,16351,12,0,hotel_3
2622,3906,16351,6,0,hotel_3
2623,3907,16352,2,1,hotel_3
2624,3908,16354,5,0,hotel_3
2625,3909,16354,8,0,hotel_3
2626,3910,16357,13,0,hotel_3
2627,3911,16358,13,0,hotel_3
2628,3912,16359,4,0,hotel_3
2629,3913,16365,13,0,hotel_3
2630,3914,16367,13,0,hotel_3
2631,3915,16370,13,0,hotel_3
2632,3916,16374,13,0,hotel_3
2633,3917,16376,0,1,hotel_3
2634,3918,16388,1,1,hotel_3
2635,3919,16390,8,0,hotel_3
2636,3920,16390,13,0,hotel_3
2637,3922,16422,4,0,hotel_3
2638,3923,16423,8,0,hotel_3
2639,3924,16427,16,0,hotel_3
2640,3925,16427,10,0,hotel_3
2641,3926,16429,1,1,hotel_3
2642,3927,16430,1,1,hotel_3
2643,3928,16431,10,0,hotel_3
2644,3929,16433,1,1,hotel_3
2645,3930,16437,1,1,hotel_3
2646,3931,16444,1,1,hotel_3
2647,3932,16448,1,1,hotel_3
2648,3933,16464,4,0,hotel_3
2649,3934,16465,4,0,hotel_3
2650,3935,16474,8,0,hotel_3
