,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
166,4434,1614074142.1726651907,1726655892,google,cpc,(not set),hotel_3
167,4435,707679566.1726655715,1726656043,,nan,(not set),hotel_3
168,4436,1562536017.1726656078,1726656195,google,organic,(not set),hotel_3
169,4437,420714742.1726651277,1726656512,google,cpc,(not set),hotel_3
170,4439,1679305588.1724743423,1726656682,google,organic,(not set),hotel_3
171,4440,1292321669.1726656729,1726656739,google,organic,(not set),hotel_3
172,4442,1022819362.1726654389,1726657166,google,cpc,hu_brand,hotel_3
173,4443,937042715.1726657221,1726657243,google,cpc,(not set),hotel_3
174,4444,1804703864.1726641669,1726657291,redir.d-edgeconnect.media,referral,(not set),hotel_3
175,4445,1211636493.1726657288,1726657474,google,cpc,(not set),hotel_3
176,4446,2110594522.1726657152,1726657589,,nan,(not set),hotel_3
177,4447,294515010.1725277747,1726657640,,nan,(not set),hotel_3
178,4448,1022819362.1726654389,1726658063,google,cpc,(not set),hotel_3
179,4449,56571486.1726658288,1726658345,live,organic,(not set),hotel_3
180,4450,1630217811.1726658394,1726658485,google,cpc,(not set),hotel_3
181,4451,907181584.1726657993,1726658528,google,organic,(not set),hotel_3
182,4452,1373444346.1718512106,1726658858,(direct),(not set),(not set),hotel_3
183,4453,1602478294.1714129316,1726659057,google,organic,(not set),hotel_3
184,4454,58406317.1725262825,1726659369,www.saferpay.com,referral,(not set),hotel_3
185,4455,97190141.1724334921,1726659495,google,cpc,(not set),hotel_3
186,4456,1041529805.1726647427,1726659502,google,cpc,(not set),hotel_3
187,4457,485131463.1726659656,1726659671,,nan,(not set),hotel_3
188,4459,1191100425.1724068825,1726660068,google,cpc,(not set),hotel_3
189,4460,460269785.1726660067,1726660218,google,cpc,(not set),hotel_3
190,4461,611348756.1726660269,1726660308,google,cpc,(not set),hotel_3
191,4462,700952275.1719659062,1726660398,google,cpc,(not set),hotel_3
192,4463,1306467371.1726660432,1726660506,google,cpc,(not set),hotel_3
193,4464,1714046726.1726237667,1726660833,facebook,cpc,campaign_1,hotel_3
194,4465,1424391172.1726609297,1726660880,google,cpc,(not set),hotel_3
195,4466,1629065953.1726660493,1726661215,,nan,(not set),hotel_3
196,4467,1629065953.1726660493,1726661486,,nan,(not set),hotel_3
197,4468,667234042.1726658228,1726661494,google,cpc,(not set),hotel_3
198,4469,528337376.1724333036,1726661509,www.saferpay.com,referral,(not set),hotel_3
199,4470,1375309937.1726661649,1726661687,google,cpc,(not set),hotel_3
200,4471,2131342941.1726122158,1726661709,,nan,(not set),hotel_3
201,4472,1982076664.1719410084,1726661876,google,cpc,(not set),hotel_3
202,4473,390577555.1726501954,1726661938,facebook,cpc,campaign_1,hotel_3
203,4474,1110662854.1716838195,1726661970,,nan,(not set),hotel_3
204,4475,1886370373.1724082826,1726662098,,nan,(not set),hotel_3
