"id";"search_log_id";"adults";"children";"picked_room";"picked_price";"picked_room"
"6212";"113046";"2";"1";NULL;NULL;NULL
"6213";"113046";"2";"0";NULL;NULL;NULL
"6214";"113047";"2";"0";NULL;NULL;NULL
"6215";"113048";"2";"0";NULL;NULL;NULL
"6216";"113049";"2";"0";NULL;NULL;NULL
"6217";"113050";"2";"0";"SUN";"674.19";"ROOMGG"
"6218";"113051";"2";"0";NULL;NULL;NULL
"6219";"113052";"2";"0";NULL;NULL;NULL
"6220";"113053";"2";"2";NULL;NULL;NULL
"6221";"113054";"2";"1";NULL;NULL;NULL
"6222";"113055";"2";"2";NULL;NULL;NULL
"6223";"113056";"3";"0";NULL;NULL;NULL
"6224";"113057";"2";"0";"SUN+";"406944.00";"ROOMHH"
"6225";"113058";"4";"0";NULL;NULL;NULL
"6226";"113059";"4";"0";NULL;NULL;NULL
"6227";"113060";"2";"2";NULL;NULL;NULL
"6228";"113061";"2";"2";NULL;NULL;NULL
"6229";"113062";"2";"2";NULL;NULL;NULL
"6230";"113063";"2";"2";NULL;NULL;NULL
"6231";"113064";"2";"2";NULL;NULL;NULL
"6232";"113065";"1";"2";NULL;NULL;NULL
"6233";"113066";"2";"0";NULL;NULL;NULL
"6235";"113068";"2";"1";NULL;NULL;NULL
"6236";"113069";"2";"0";NULL;NULL;NULL
"6237";"113070";"4";"0";"CR";"140328.00";"ROOMBB"
"6238";"113071";"1";"1";NULL;NULL;NULL
"6239";"113072";"2";"0";NULL;NULL;NULL
"6240";"113073";"1";"1";NULL;NULL;NULL
"6241";"113074";"2";"2";NULL;NULL;NULL
"6242";"113075";"2";"0";NULL;NULL;NULL
"6243";"113076";"1";"1";NULL;NULL;NULL
"6244";"113077";"2";"2";NULL;NULL;NULL
"6245";"113078";"2";"2";NULL;NULL;NULL
"6246";"113079";"1";"1";NULL;NULL;NULL
"6247";"113080";"1";"0";NULL;NULL;NULL
"6248";"113081";"1";"0";NULL;NULL;NULL
"6250";"113083";"1";"0";NULL;NULL;NULL
"6251";"113084";"2";"0";NULL;NULL;NULL
"6252";"113085";"2";"0";NULL;NULL;NULL
"6253";"113086";"2";"0";NULL;NULL;NULL
"6254";"113087";"2";"1";NULL;NULL;NULL
"6255";"113088";"2";"0";NULL;NULL;NULL
"6256";"113089";"2";"1";NULL;NULL;NULL
"6257";"113090";"2";"2";NULL;NULL;NULL
"6258";"113091";"1";"1";NULL;NULL;NULL
"6259";"113092";"2";"0";NULL;NULL;NULL
"6260";"113092";"2";"0";NULL;NULL;NULL
"6261";"113093";"2";"0";NULL;NULL;NULL
"6262";"113093";"2";"0";NULL;NULL;NULL
"6263";"113094";"2";"0";NULL;NULL;NULL
"6264";"113094";"2";"0";NULL;NULL;NULL
"6265";"113095";"2";"2";NULL;NULL;NULL
"6266";"113096";"2";"0";NULL;NULL;NULL
"6267";"113096";"2";"0";NULL;NULL;NULL
"6268";"113097";"2";"2";NULL;NULL;NULL
"6269";"113098";"2";"2";NULL;NULL;NULL
"6270";"113099";"2";"0";NULL;NULL;NULL
"6271";"113099";"2";"0";NULL;NULL;NULL
"6272";"113100";"2";"0";NULL;NULL;NULL
"6273";"113100";"2";"0";NULL;NULL;NULL
"6274";"113101";"2";"2";NULL;NULL;NULL
"6275";"113102";"2";"2";NULL;NULL;NULL
"6276";"113103";"2";"0";NULL;NULL;NULL
"6277";"113104";"2";"2";NULL;NULL;NULL
"6278";"113105";"2";"0";"STN";"93195.00";"ROOMEE"
"6279";"113106";"2";"0";NULL;NULL;NULL
"6280";"113107";"2";"2";NULL;NULL;NULL
"6281";"113108";"2";"2";NULL;NULL;NULL
"6282";"113109";"2";"2";NULL;NULL;NULL
"6283";"113110";"2";"2";NULL;NULL;NULL
"6284";"113111";"2";"2";NULL;NULL;NULL
"6285";"113112";"2";"0";NULL;NULL;NULL
"6286";"113113";"2";"0";NULL;NULL;NULL
"6287";"113114";"2";"0";NULL;NULL;NULL
"6288";"113115";"2";"1";NULL;NULL;NULL
"6289";"113116";"2";"0";NULL;NULL;NULL
"6290";"113117";"2";"0";NULL;NULL;NULL
"6291";"113118";"2";"0";NULL;NULL;NULL
"6292";"113119";"2";"2";NULL;NULL;NULL
"6293";"113120";"2";"0";NULL;NULL;NULL
"6294";"113121";"2";"0";NULL;NULL;NULL
"6295";"113122";"1";"0";NULL;NULL;NULL
"6296";"113123";"2";"0";NULL;NULL;NULL
"6297";"113124";"2";"0";NULL;NULL;NULL
"6298";"113125";"2";"0";NULL;NULL;NULL
"6299";"113126";"2";"0";NULL;NULL;NULL
"6300";"113127";"2";"0";NULL;NULL;NULL
"6301";"113128";"1";"1";NULL;NULL;NULL
"6302";"113129";"2";"0";NULL;NULL;NULL
"6303";"113130";"2";"0";NULL;NULL;NULL
"6304";"113131";"2";"0";NULL;NULL;NULL
"6305";"113132";"2";"0";NULL;NULL;NULL
"6306";"113133";"2";"0";NULL;NULL;NULL
"6307";"113134";"2";"0";"STN";"253368.00";"ROOMEE"
"6308";"113135";"2";"0";NULL;NULL;NULL
"6309";"113136";"2";"0";NULL;NULL;NULL
"6310";"113137";"2";"0";NULL;NULL;NULL
"6311";"113138";"2";"0";NULL;NULL;NULL
"6312";"113139";"2";"0";NULL;NULL;NULL
"6313";"113140";"2";"2";NULL;NULL;NULL
"6314";"113141";"2";"0";NULL;NULL;NULL
"6315";"113142";"2";"2";NULL;NULL;NULL
"6316";"113143";"3";"1";NULL;NULL;NULL
"6317";"113144";"2";"2";NULL;NULL;NULL
"6318";"113145";"2";"0";NULL;NULL;NULL
"6319";"113146";"2";"2";NULL;NULL;NULL
"6320";"113147";"2";"2";NULL;NULL;NULL
"6321";"113148";"2";"1";NULL;NULL;NULL
"6322";"113149";"2";"0";NULL;NULL;NULL
"6323";"113150";"2";"2";NULL;NULL;NULL
"6324";"113151";"2";"2";"DLS";"152021.00";"ROOMDD"
"6325";"113152";"2";"1";"SBN";"256535.00";"ROOMFF"
"6326";"113153";"2";"1";NULL;NULL;NULL
"6327";"113154";"2";"3";NULL;NULL;NULL
"6328";"113155";"2";"3";NULL;NULL;NULL
"6329";"113156";"2";"3";NULL;NULL;NULL
"6330";"113157";"2";"3";NULL;NULL;NULL
"6331";"113158";"2";"0";NULL;NULL;NULL
"6332";"113159";"2";"3";NULL;NULL;NULL
"6333";"113160";"2";"0";NULL;NULL;NULL
"6334";"113161";"2";"3";NULL;NULL;NULL
"6335";"113162";"2";"2";NULL;NULL;NULL
"6336";"113163";"2";"2";NULL;NULL;NULL
"6337";"113164";"2";"0";NULL;NULL;NULL
"6338";"113165";"3";"0";NULL;NULL;NULL
"6339";"113166";"2";"0";NULL;NULL;NULL
"6340";"113167";"2";"0";NULL;NULL;NULL
"6341";"113168";"2";"2";NULL;NULL;NULL
"6342";"113169";"2";"1";NULL;NULL;NULL
"6343";"113170";"2";"1";NULL;NULL;NULL
"6344";"113170";"2";"2";NULL;NULL;NULL
"6345";"113171";"2";"1";NULL;NULL;NULL
"6346";"113172";"1";"1";NULL;NULL;NULL
"6347";"113173";"2";"0";NULL;NULL;NULL
"6348";"113174";"2";"2";NULL;NULL;NULL
"6349";"113175";"2";"2";NULL;NULL;NULL
"6350";"113176";"2";"0";NULL;NULL;NULL
"6351";"113177";"2";"0";NULL;NULL;NULL
"6352";"113178";"1";"0";NULL;NULL;NULL
"6353";"113179";"2";"0";NULL;NULL;NULL
"6354";"113180";"2";"1";NULL;NULL;NULL
"6355";"113181";"1";"1";NULL;NULL;NULL
"6356";"113182";"2";"0";NULL;NULL;NULL
"6357";"113183";"2";"0";NULL;NULL;NULL
"6358";"113184";"2";"3";NULL;NULL;NULL
"6359";"113185";"2";"0";NULL;NULL;NULL
"6360";"113186";"2";"2";NULL;NULL;NULL
"6361";"113187";"2";"2";NULL;NULL;NULL
"6362";"113188";"2";"0";NULL;NULL;NULL
"6363";"113188";"2";"0";NULL;NULL;NULL
"6364";"113189";"1";"1";NULL;NULL;NULL
"6365";"113189";"1";"1";NULL;NULL;NULL
"6366";"113190";"2";"2";NULL;NULL;NULL
"6367";"113191";"2";"3";NULL;NULL;NULL
"6368";"113192";"2";"1";NULL;NULL;NULL
"6369";"113193";"2";"0";NULL;NULL;NULL
"6370";"113194";"1";"1";NULL;NULL;NULL
"6371";"113194";"1";"1";NULL;NULL;NULL
"6372";"113195";"2";"0";NULL;NULL;NULL
"6373";"113196";"2";"0";NULL;NULL;NULL
"6374";"113197";"2";"0";NULL;NULL;NULL
"6375";"113198";"2";"0";NULL;NULL;NULL
"6376";"113199";"2";"0";NULL;NULL;NULL
"6377";"113200";"2";"0";NULL;NULL;NULL
"6378";"113201";"2";"0";NULL;NULL;NULL
"6379";"113202";"2";"0";NULL;NULL;NULL
"6380";"113203";"2";"4";NULL;NULL;NULL
"6381";"113204";"2";"2";NULL;NULL;NULL
"6382";"113205";"2";"1";NULL;NULL;NULL
"6383";"113206";"2";"2";NULL;NULL;NULL
"6384";"113207";"2";"1";NULL;NULL;NULL
"6385";"113208";"2";"0";NULL;NULL;NULL
"6386";"113209";"2";"0";NULL;NULL;NULL
"6387";"113210";"2";"0";NULL;NULL;NULL
"6388";"113211";"2";"1";NULL;NULL;NULL
"6389";"113212";"2";"0";NULL;NULL;NULL
