,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total,hotel_id
253,88551,1638.17,1820.19,0.0,0,182.02,0.0,hotel_2
254,88555,178955.0,201048.22,0.0,0,22093.22,0.0,hotel_2
255,88553,121650.0,110160.0,11490.0,0,0.0,0.0,hotel_2
256,88594,276.78,310.95,0.0,0,34.17,0.0,hotel_2
257,88685,118477.0,133103.78,0.0,0,14626.78,0.0,hotel_2
258,88855,240182.0,240182.0,0.0,0,0.0,0.0,hotel_2
259,89002,208080.0,208080.0,0.0,0,0.0,0.0,hotel_2
260,89009,68156.0,68156.0,0.0,0,0.0,0.0,hotel_2
261,89031,280.32,280.32,0.0,0,0.0,0.0,hotel_2
262,89139,250193.0,287260.0,0.0,0,31567.0,5500.0,hotel_2
263,89152,216906.0,243240.0,2990.0,0,24324.0,5000.0,hotel_2
264,89206,122873.0,154501.11,0.0,0,16978.11,14650.0,hotel_2
265,89215,181025.0,201138.89,0.0,0,20113.89,0.0,hotel_2
266,89370,128226.0,142473.33,0.0,0,14247.33,0.0,hotel_2
267,89375,128226.0,142473.33,0.0,0,14247.33,0.0,hotel_2
268,89388,145170.0,133670.0,11500.0,0,0.0,0.0,hotel_2
269,89398,128226.0,142473.33,0.0,0,14247.33,0.0,hotel_2
270,89416,290822.0,323135.56,0.0,0,32313.56,0.0,hotel_2
271,89422,552479.0,646271.11,0.0,0,64627.11,29165.0,hotel_2
272,89658,149290.0,198720.0,0.0,0,29808.0,19622.0,hotel_2
273,89685,344088.0,382320.0,0.0,0,38232.0,0.0,hotel_2
274,89817,506.36,624.98,0.0,0,68.68,49.94,hotel_2
275,89844,170485.0,197149.78,0.0,0,21664.78,5000.0,hotel_2
276,89990,81003.0,90003.33,0.0,0,9000.33,0.0,hotel_2
277,90110,785.4,785.4,0.0,0,0.0,0.0,hotel_2
278,90112,785.4,785.4,0.0,0,0.0,0.0,hotel_2
279,90145,89557.0,99507.78,0.0,0,9950.78,0.0,hotel_2
280,90214,85484.0,85484.0,0.0,0,0.0,0.0,hotel_2
281,90249,440.1,489.0,0.0,0,48.9,0.0,hotel_2
282,90254,184540.0,210600.0,0.0,0,21060.0,5000.0,hotel_2
283,90265,218074.0,247860.0,0.0,0,24786.0,5000.0,hotel_2
284,90283,242514.0,269460.0,0.0,0,26946.0,0.0,hotel_2
