"id";"search_log_id";"search_log_room_id";"room_code";"room_price_min";"room_price_max"
"46798";"86015";"14189";"ROOMCC";"124848.00";"149328.00"
"46799";"86015";"14189";"ROOMBB";"149328.00";"173808.00"
"46800";"86015";"14189";"ROOMFF";"161568.00";"186048.00"
"46801";"86017";"14191";"ROOMCC";"435744.00";"435744.00"
"46802";"86017";"14191";"ROOMHH";"521730.00";"521730.00"
"46803";"86017";"14192";"ROOMDD";"298044.00";"298044.00"
"46804";"86017";"14192";"ROOMGG";"316404.00";"316404.00"
"46805";"86017";"14192";"ROOMCC";"316404.00";"316404.00"
"46806";"86017";"14192";"ROOMBB";"353124.00";"353124.00"
"46807";"86018";"14193";"ROOMAA";"121176.00";"162186.00"
"46808";"86018";"14193";"ROOMGG";"127296.00";"169140.00"
"46809";"86018";"14193";"ROOMCC";"127296.00";"169140.00"
"46810";"86018";"14193";"ROOMBB";"151776.00";"196958.00"
"46811";"86018";"14193";"ROOMFF";"164016.00";"210868.00"
"46812";"86019";"14194";"ROOMAA";"121176.00";"162186.00"
"46813";"86019";"14194";"ROOMGG";"127296.00";"169140.00"
"46814";"86019";"14194";"ROOMCC";"127296.00";"169140.00"
"46815";"86019";"14194";"ROOMBB";"151776.00";"196958.00"
"46816";"86019";"14194";"ROOMFF";"164016.00";"210868.00"
"46817";"86020";"14195";"ROOMBB";"367.20";"367.20"
"46818";"86020";"14195";"ROOMFF";"386.75";"386.75"
"46819";"86021";"14196";"ROOMBB";"260100.00";"294650.00"
"46820";"86021";"14196";"ROOMFF";"278460.00";"313010.00"
"46821";"86022";"14197";"ROOMDD";"561.00";"657.00"
"46822";"86022";"14197";"ROOMAA";"586.50";"682.50"
"46823";"86022";"14197";"ROOMGG";"612.00";"708.00"
"46824";"86023";"14198";"ROOMDD";"268.79";"383.35"
"46825";"86023";"14198";"ROOMAA";"285.27";"402.05"
"46826";"86023";"14198";"ROOMGG";"301.77";"421.60"
"46827";"86023";"14198";"ROOMCC";"301.77";"421.60"
"46828";"86023";"14198";"ROOMBB";"367.73";"498.95"
"46829";"86023";"14198";"ROOMFF";"400.71";"538.05"
"46830";"86024";"14199";"ROOMDD";"268.79";"383.35"
"46831";"86024";"14199";"ROOMAA";"285.27";"402.05"
"46832";"86024";"14199";"ROOMGG";"301.77";"421.60"
"46833";"86024";"14199";"ROOMCC";"301.77";"421.60"
"46834";"86024";"14199";"ROOMBB";"367.73";"498.95"
"46835";"86024";"14199";"ROOMFF";"400.71";"538.05"
"46836";"86028";"14203";"ROOMAA";"173196.00";"221302.00"
"46837";"86028";"14203";"ROOMGG";"182376.00";"231733.00"
"46838";"86028";"14203";"ROOMCC";"182376.00";"231733.00"
"46839";"86028";"14203";"ROOMBB";"219096.00";"273461.00"
"46840";"86028";"14203";"ROOMFF";"237456.00";"294325.00"
"46841";"86033";"14209";"ROOMGG";"225216.00";"249704.00"
"46842";"86033";"14210";"ROOMGG";"225216.00";"249704.00"
"46843";"86037";"14214";"ROOMGG";"225216.00";"259766.00"
"46844";"86038";"14215";"ROOMGG";"173808.00";"191083.00"
"46845";"86039";"14216";"ROOMDD";"82639.00";"107119.00"
"46846";"86039";"14216";"ROOMAA";"86730.00";"111210.00"
"46847";"86039";"14216";"ROOMGG";"90821.00";"115301.00"
"46848";"86039";"14216";"ROOMCC";"90821.00";"115301.00"
"46849";"86039";"14216";"ROOMBB";"107185.00";"131665.00"
"46850";"86040";"14217";"ROOMGG";"225216.00";"259766.00"
"46851";"86041";"14218";"ROOMGG";"169781.00";"223386.00"
"46852";"86041";"14218";"ROOMCC";"169781.00";"223386.00"
"46853";"86041";"14218";"ROOMBB";"205400.00";"265117.00"
"46854";"86042";"14219";"ROOMAA";"173196.00";"221302.00"
"46855";"86042";"14219";"ROOMGG";"182376.00";"231733.00"
