"id";"search_log_room_id";"age";"baby_bed"
"2053";"5304";"14";"0"
"2054";"5305";"5";"0"
"2055";"5306";"14";"0"
"2056";"5307";"5";"0"
"2057";"5307";"14";"0"
"2058";"5310";"6";"0"
"2059";"5310";"13";"0"
"2060";"5330";"1";"1"
"2061";"5330";"4";"0"
"2062";"5337";"1";"0"
"2063";"5339";"1";"0"
"2064";"5340";"6";"0"
"2065";"5340";"9";"0"
"2066";"5340";"12";"0"
"2067";"5344";"0";"1"
"2068";"5368";"15";"0"
"2069";"5371";"2";"0"
"2070";"5373";"10";"0"
"2071";"5373";"12";"0"
"2072";"5373";"13";"0"
"2073";"5373";"2";"0"
"2074";"5374";"10";"0"
"2075";"5374";"12";"0"
"2076";"5375";"13";"0"
"2077";"5375";"2";"0"
"2078";"5376";"10";"0"
"2079";"5376";"12";"0"
"2080";"5377";"13";"0"
"2081";"5377";"2";"0"
"2082";"5378";"10";"0"
"2083";"5378";"12";"0"
"2084";"5379";"13";"0"
"2085";"5379";"2";"0"
"2095";"5390";"15";"0"
"2096";"5390";"6";"0"
"2097";"5392";"7";"0"
"2098";"5392";"8";"0"
"2099";"5393";"7";"0"
"2100";"5393";"8";"0"
"2101";"5394";"0";"1"
"2102";"5395";"3";"0"
"2103";"5395";"6";"0"
"2104";"5396";"3";"0"
"2105";"5396";"6";"0"
"2106";"5397";"3";"0"
"2107";"5397";"6";"0"
"2108";"5401";"1";"1"
"2109";"5401";"0";"1"
"2110";"5402";"1";"1"
"2111";"5404";"1";"0"
"2112";"5405";"1";"0"
"2113";"5409";"14";"0"
"2129";"5416";"14";"0"
"2130";"5416";"12";"0"
"2131";"5417";"1";"1"
"2132";"5418";"4";"0"
"2133";"5418";"2";"0"
"2134";"5419";"1";"1"
"2135";"5421";"5";"0"
"2136";"5421";"9";"0"
"2137";"5422";"4";"0"
"2138";"5422";"6";"0"
"2139";"5422";"9";"0"
"2140";"5425";"4";"0"
"2141";"5425";"7";"0"
"2142";"5428";"13";"0"
"2143";"5429";"13";"0"
"2144";"5430";"13";"0"
"2151";"5438";"12";"0"
"2152";"5439";"12";"0"
"2155";"5451";"5";"0"
"2156";"5451";"5";"0"
"2157";"5457";"2";"0"
"2158";"5464";"0";"1"
"2159";"5467";"0";"1"
"2160";"5472";"1";"1"
"2161";"5472";"0";"1"
"2162";"5491";"10";"0"
"2163";"5492";"6";"0"
"2164";"5492";"15";"0"
"2165";"5493";"6";"0"
"2166";"5493";"15";"0"
"2167";"5495";"5";"0"
"2168";"5495";"12";"0"
"2169";"5502";"4";"0"
"2170";"5502";"2";"0"
"2171";"5503";"4";"0"
"2172";"5503";"2";"0"
"2173";"5504";"4";"0"
"2174";"5504";"2";"0"
"2175";"5505";"4";"0"
"2176";"5505";"2";"0"
"2179";"5508";"12";"0"
"2180";"5511";"1";"1"
"2181";"5513";"4";"0"
"2182";"5513";"2";"0"
"2183";"5523";"2";"0"
"2184";"5532";"12";"0"
"2185";"5534";"12";"0"
"2186";"5534";"9";"0"
"2187";"5534";"3";"0"
"2188";"5535";"12";"0"
"2189";"5535";"9";"0"
"2190";"5535";"3";"0"
"2191";"5544";"17";"0"
"2192";"5550";"1";"1"
"2193";"5551";"10";"0"
"2194";"5569";"10";"0"
"2195";"5573";"10";"0"
"2196";"5575";"6";"0"
"2197";"5583";"12";"0"
"2198";"5584";"12";"0"
"2199";"5585";"12";"0"
"2200";"5707";"4";"0"
"2201";"5707";"6";"0"
"2202";"5715";"12";"0"
"2203";"5715";"17";"0"
"2204";"5716";"12";"0"
"2205";"5716";"17";"0"
"2206";"5718";"12";"0"
"2207";"5719";"17";"0"
"2208";"5721";"12";"0"
"2209";"5723";"17";"0"
"2210";"5723";"12";"0"
"2211";"5727";"14";"0"
"2212";"5730";"14";"0"
"2213";"5732";"14";"0"
"2214";"5733";"10";"0"
"2215";"5735";"13";"0"
"2216";"5802";"5";"0"
"2217";"5809";"5";"0"
"2218";"5810";"10";"0"
"2219";"5810";"11";"0"
"2220";"5811";"10";"0"
"2221";"5811";"11";"0"
"2222";"5812";"11";"0"
"2223";"5812";"12";"0"
"2224";"5813";"11";"0"
"2225";"5813";"12";"0"
"2226";"5814";"11";"0"
"2227";"5814";"12";"0"
"2228";"5835";"12";"0"
"2229";"5835";"14";"0"
"2230";"5849";"1";"1"
"2231";"5853";"1";"1"
"2232";"5854";"16";"0"
"2233";"5859";"15";"0"
"2234";"5863";"1";"1"
"2235";"5868";"10";"0"
"2236";"5868";"13";"0"
"2237";"5879";"9";"0"
"2238";"5884";"3";"0"
"2239";"5884";"5";"0"
"2240";"5884";"7";"0"
"2241";"5885";"10";"0"
"2242";"5885";"12";"0"
"2243";"5886";"7";"0"
"2244";"5892";"8";"0"
"2245";"5892";"8";"0"
"2246";"5895";"5";"0"
"2247";"5895";"7";"0"
"2248";"5896";"5";"0"
"2249";"5896";"7";"0"
"2250";"5897";"6";"0"
"2251";"5898";"6";"0"
"2252";"5899";"8";"0"
"2253";"5901";"2";"0"
"2254";"5902";"3";"0"
"2255";"5902";"6";"0"
"2256";"5916";"12";"0"
"2257";"5917";"1";"1"
"2258";"5930";"2";"1"
"2259";"5930";"15";"0"
"2260";"5931";"2";"1"
"2261";"5931";"15";"0"
"2262";"5932";"4";"0"
"2263";"5932";"6";"0"
"2264";"5934";"2";"1"
"2265";"5934";"15";"0"
"2266";"5937";"7";"0"
"2267";"5937";"4";"0"
"2268";"5938";"7";"0"
"2269";"5938";"4";"0"
"2270";"5939";"7";"0"
"2271";"5939";"4";"0"
"2272";"5940";"7";"0"
"2273";"5940";"4";"0"
"2274";"5942";"10";"0"
"2275";"5944";"13";"0"
"2276";"5949";"12";"0"
"2277";"5951";"4";"0"
"2278";"5961";"5";"0"
"2279";"5961";"9";"0"
"2280";"5966";"11";"0"
"2281";"5966";"11";"0"
"2282";"5967";"6";"0"
"2283";"5967";"10";"0"
"2284";"5968";"6";"0"
"2285";"5969";"10";"0"
"2286";"5975";"11";"0"
"2287";"5975";"11";"0"
"2288";"5976";"8";"0"
"2289";"5977";"8";"0"
"2290";"5978";"8";"0"
"2291";"5980";"3";"0"
"2292";"5982";"11";"0"
"2293";"5982";"11";"0"
"2294";"5985";"11";"0"
"2295";"5985";"11";"0"
"2296";"5986";"12";"0"
"2297";"5987";"12";"0"
"2298";"5988";"12";"0"
"2299";"5990";"12";"0"
"2300";"5991";"12";"0"
"2301";"5994";"12";"0"
"2302";"5995";"11";"0"
"2303";"5998";"11";"0"
"2304";"5998";"11";"0"
"2305";"5999";"12";"0"
"2306";"5999";"12";"0"
"2307";"6001";"12";"0"
"2308";"6003";"1";"1"
"2309";"6003";"3";"0"
"2310";"6004";"11";"0"
"2311";"6004";"15";"0"
"2312";"6005";"12";"0"
"2313";"6006";"17";"0"
"2314";"6006";"6";"0"
"2315";"6007";"1";"1"
"2316";"6007";"3";"0"
"2317";"6010";"1";"1"
"2318";"6010";"3";"0"
"2319";"6011";"1";"1"
"2320";"6011";"3";"0"
"2321";"6012";"1";"1"
"2322";"6012";"3";"0"
"2323";"6013";"1";"1"
"2324";"6013";"3";"0"
"2325";"6014";"1";"1"
"2326";"6014";"3";"0"
"2327";"6015";"1";"1"
"2328";"6015";"3";"0"
"2329";"6020";"1";"1"
"2330";"6020";"3";"0"
"2331";"6021";"1";"1"
"2332";"6021";"3";"0"
"2333";"6022";"12";"0"
"2334";"6022";"16";"0"
"2335";"6023";"11";"0"
"2336";"6023";"15";"0"
"2337";"6024";"11";"0"
"2338";"6024";"15";"0"
"2339";"6026";"17";"0"
"2340";"6028";"17";"0"
"2341";"6029";"9";"0"
"2342";"6031";"12";"0"
"2343";"6032";"11";"0"
"2344";"6032";"11";"0"
"2345";"6033";"11";"0"
"2346";"6033";"12";"0"
"2347";"6034";"11";"0"
"2348";"6042";"6";"0"
"2349";"6043";"11";"0"
"2350";"6043";"14";"0"
"2351";"6043";"14";"0"
"2352";"6044";"6";"0"
"2353";"6045";"6";"0"
"2354";"6046";"6";"0"
"2355";"6047";"7";"0"
"2356";"6049";"7";"0"
"2357";"6052";"6";"0"
"2358";"6053";"6";"0"
"2359";"6056";"6";"0"
"2360";"6057";"12";"0"
"2361";"6057";"10";"0"
"2362";"6057";"1";"1"
"2363";"6059";"12";"0"
"2364";"6059";"10";"0"
"2365";"6059";"1";"1"
"2366";"6060";"6";"0"
"2367";"6061";"13";"0"
"2368";"6062";"6";"0"
"2369";"6063";"13";"0"
"2370";"6064";"0";"1"
"2371";"6064";"2";"0"
"2372";"6065";"6";"0"
"2373";"6066";"5";"0"
"2374";"6066";"7";"0"
"2375";"6067";"5";"0"
"2376";"6067";"7";"0"
"2377";"6069";"5";"0"
"2378";"6070";"7";"0"
"2379";"6080";"8";"0"
"2380";"6080";"10";"0"
"2381";"6086";"8";"0"
"2382";"6089";"1";"1"
"2383";"6091";"1";"1"
"2384";"6092";"1";"1"
"2385";"6094";"1";"1"
"2386";"6096";"1";"1"
"2387";"6097";"1";"1"
"2388";"6098";"1";"1"
