,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
1595,6959,815390812.1715505726,1727020876,google,cpc,hu_brand,hotel_1
1596,6960,810598611.1727020595,1727020918,google,cpc,hu_brand,hotel_1
1597,6961,893601001.1725894962,1727020961,(direct),(not set),(not set),hotel_1
1598,6962,1317928212.1716237178,1727021113,google,cpc,(not set),hotel_1
1599,6963,734590753.1726591290,1727021282,,nan,(not set),hotel_1
1600,6964,761456853.1714150633,1727021337,google,cpc,hu_brand,hotel_1
1601,6966,1375913836.1726256053,1727021671,,nan,(not set),hotel_1
1602,6967,1298072962.1727021292,1727021889,google,cpc,,hotel_1
1603,6968,37929803.1727021676,1727021900,google,cpc,hu_pmax_brand,hotel_1
1604,6969,104490858.1726471202,1727022060,facebook,cpc,campaign_1,hotel_1
1605,6970,1055203671.1719855991,1727022084,google,cpc,,hotel_1
1606,6971,657647550.1727022061,1727022092,bing,cpc,HU ,hotel_1
1607,6972,1791632494.1726924082,1727022239,(direct),(not set),(not set),hotel_1
1608,6973,1686562117.1727022187,1727022257,google,cpc,hu_brand,hotel_1
1609,6974,862001000.1727022325,1727022339,google,cpc,hu_brand,hotel_1
1610,6975,1111677670.1727022477,1727022511,google,cpc,,hotel_1
1611,6976,234137708.1727022564,1727022594,google,cpc,hu_brand,hotel_1
1612,6978,1666102429.1722765632,1727023419,google,cpc,,hotel_1
1613,6980,1466237181.1727022730,1727023836,google,cpc,,hotel_1
1614,6981,1878825093.1727023621,1727023880,google,cpc,,hotel_1
1615,6982,734590753.1726591290,1727023975,,nan,(not set),hotel_1
1616,6983,2131342941.1726122158,1727024094,,nan,(not set),hotel_1
1617,6984,1905721320.1722962241,1727024108,google,cpc,hu_brand,hotel_1
1618,6985,1238333270.1727024199,1727024246,google,cpc,,hotel_1
1619,6986,964224917.1727024581,1727024595,google,cpc,,hotel_1
1620,6987,1374564595.1727023498,1727024626,google,organic,(not set),hotel_1
1621,6988,1211673220.1727024519,1727024725,google,cpc,,hotel_1
1622,6989,1862293141.1727022038,1727025038,google,cpc,hu_brand,hotel_1
1623,6990,987386046.1727021284,1727025231,google,cpc,,hotel_1
1624,6991,255638367.1726001908,1727025289,google,cpc,hu_brand,hotel_1
1625,6992,82465382.1727025202,1727025362,facebook,cpc,campaign_1,hotel_1
1626,6993,591fcc50-1fa7-49a9-9103-947c11ce8e6d,1727025380,(direct),(not set),(not set),hotel_1
1627,6994,1905721320.1722962241,1727025642,google,cpc,hu_brand,hotel_1
1628,6995,803932466.1726837232,1727025781,google,organic,(not set),hotel_1
1629,6996,1636252495.1727025808,1727025824,google,cpc,hu_brand,hotel_1
1630,6997,95484251.1716840988,1727025926,google,cpc,hu_brand,hotel_1
1631,6998,1226911813.1726936286,1727026120,facebook,cpc,campaign_1,hotel_1
1632,6999,316555506.1727026324,1727026431,google,cpc,hu_brand,hotel_1
1633,7000,316555506.1727026324,1727026814,google,cpc,hu_brand,hotel_1
1634,7001,626505927.1727026933,1727026989,google,organic,(not set),hotel_1
1635,7002,366297066.1718718522,1727027094,facebook,cpc,campaign_1,hotel_1
1636,7003,1215858900.1727026832,1727027100,facebook,cpc,campaign_1,hotel_1
1637,7004,1653057203.1727027337,1727027378,google,cpc,,hotel_1
1638,7005,1589780693.1725509706,1727027696,google,cpc,hu_brand,hotel_1
1639,7006,1879364948.1724406799,1727027757,,nan,(not set),hotel_1
1640,7007,1212197462.1727027817,1727027870,google,cpc,,hotel_1
1641,7008,2040070581.1727027751,1727027919,google,cpc,hu_brand,hotel_1
1642,7009,1687352579.1714672257,1727028074,google,cpc,hu_brand,hotel_1
1643,7010,680119271.1726939839,1727028356,google,cpc,hu_brand,hotel_1
1644,7011,1952567887.1727027646,1727028637,google,cpc,hu_brand,hotel_1
1645,7012,250141810.1725800649,1727028644,google,cpc,hu_brand,hotel_1
1646,7013,425942765.1725992072,1727028671,google,cpc,,hotel_1
1647,7014,47266960.1726037346,1727028988,(direct),(not set),(not set),hotel_1
1648,7015,194553990.1726842946,1727029022,google,cpc,,hotel_1
1649,7016,605676420.1727029005,1727029193,google,cpc,hu_brand,hotel_1
1650,7017,73397293.1727028875,1727029207,source_1,referral,(not set),hotel_1
1651,7018,30516577.1726772565,1727029216,google,cpc,,hotel_1
1652,7019,1260316433.1727029234,1727029315,seznam,organic,(not set),hotel_1
1653,7020,95484251.1716840988,1727029338,google,cpc,hu_brand,hotel_1
1654,7021,1459251584.1726686314,1727029566,google,cpc,hu_brand,hotel_1
1655,7022,783805989.1725808094,1727029886,google,organic,(not set),hotel_1
1656,7023,1903294279.1727029790,1727030047,google,organic,(not set),hotel_1
1657,7024,1356810528.1727030213,1727030232,(direct),(not set),(not set),hotel_1
1658,7025,2016651730.1727030255,1727030324,google,cpc,,hotel_1
1659,7026,686407331.1727030320,1727030336,google,cpc,,hotel_1
1660,7027,1678358212.1727030298,1727030437,google,organic,(not set),hotel_1
1661,7028,1589780693.1725509706,1727030604,loyalty,newsletter,loyalty-email,hotel_1
1662,7029,895683841.1726986845,1727030917,(direct),(not set),(not set),hotel_1
1663,7030,368710321.1714380180,1727031376,,nan,(not set),hotel_1
1664,7031,1007164128.1726808837,1727031491,facebook,cpc,campaign_1,hotel_1
1665,7032,1848893981.1727031368,1727031570,(direct),(not set),(not set),hotel_1
1666,7033,899905720.1727031574,1727031620,google,cpc,,hotel_1
1667,7034,301866143.1727031577,1727031745,,nan,(not set),hotel_1
1668,7035,259357590.1727032065,1727032124,l.facebook.com,referral,(not set),hotel_1
1669,7036,1311873167.1726583319,1727032182,google,cpc,hu_pmax_brand,hotel_1
1670,7037,1028187244.1727032374,1727032409,google,cpc,hu_brand,hotel_1
1671,7038,1771853142.1716396492,1727032411,google,organic,(not set),hotel_1
1672,7039,947755944.1727032374,1727032445,google,cpc,hu_brand,hotel_1
1673,7040,2075803736.1727032491,1727032557,google,cpc,hu_brand,hotel_1
1674,7041,1842791014.1726577325,1727032589,google,cpc,hu_brand,hotel_1
1675,7042,1421611183.1725282375,1727032653,google,cpc,,hotel_1
1676,7043,301866143.1727031577,1727032741,,nan,(not set),hotel_1
1677,7044,1409064667.1727032215,1727032746,google,cpc,hu_brand,hotel_1
1678,7045,569157484.1727032719,1727032771,google,organic,(not set),hotel_1
1679,7046,8f024319-d01f-4528-a8a2-0e668b08f2b9,1727032803,facebook,cpc,campaign_1,hotel_1
1680,7047,1825094721.1727032625,1727032844,google,organic,(not set),hotel_1
